condition_id,run_id,label,proposer_pool,architecture,aggregation,derived_modality,derivation_basis,from_transmitted_configuration,routes_disagree,register_pool_modality,register_verifier_modality,passes_manifest_modality,pool_token,label_token,board_membership_track,board_opmax_track,board_opmax_modality,n_mismatches
consensus-384-t1-0::single-pass-run_7,consensus-384-t1-0,single-pass-run_7,384,single-pass,none,text,pass-metadata,True,False,text,,text,,,,,,0
consensus-384-t1-0::single-pass-run_8,consensus-384-t1-0,single-pass-run_8,384,single-pass,none,text,pass-metadata,True,False,text,,text,,,,,,0
consensus-384-t1-0::single-pass-run_9,consensus-384-t1-0,single-pass-run_9,384,single-pass,none,text,pass-metadata,True,False,text,,text,,,,,,0
consensus-384-t1-0::single-pass-run_10,consensus-384-t1-0,single-pass-run_10,384,single-pass,none,text,pass-metadata,True,False,text,,text,,,,,,0
consensus-384-t1-0::single-pass-run_11,consensus-384-t1-0,single-pass-run_11,384,single-pass,none,text,pass-metadata,True,False,text,,text,,,,,,0
consensus-384-t1-0::single-pass-run_12,consensus-384-t1-0,single-pass-run_12,384,single-pass,none,text,pass-metadata,True,False,text,,text,,,,,,0
consensus-384-t1-0::single-pass-run_13,consensus-384-t1-0,single-pass-run_13,384,single-pass,none,text,pass-metadata,True,False,text,,text,,,,,,0
consensus-384-t1-0::single-pass-run_14,consensus-384-t1-0,single-pass-run_14,384,single-pass,none,text,pass-metadata,True,False,text,,text,,,,,,0
consensus-384-t1-0::single-pass-run_15,consensus-384-t1-0,single-pass-run_15,384,single-pass,none,text,pass-metadata,True,False,text,,text,,,,,,0
consensus-384-t1-0::single-pass-run_16,consensus-384-t1-0,single-pass-run_16,384,single-pass,none,text,pass-metadata,True,False,text,,text,,,,,,0
consensus-384-t1-0::single-pass-run_17,consensus-384-t1-0,single-pass-run_17,384,single-pass,none,text,pass-metadata,True,False,text,,text,,,,,,0
consensus-384-t1-0::single-pass-run_18,consensus-384-t1-0,single-pass-run_18,384,single-pass,none,text,pass-metadata,True,False,text,,text,,,,,,0
consensus-384-t1-0::single-pass-run_19,consensus-384-t1-0,single-pass-run_19,384,single-pass,none,text,pass-metadata,True,False,text,,text,,,,,,0
consensus-384-t1-0::single-pass-run_20,consensus-384-t1-0,single-pass-run_20,384,single-pass,none,text,pass-metadata,True,False,text,,text,,,,,,0
consensus-384-t1-0::single-pass-run_21,consensus-384-t1-0,single-pass-run_21,384,single-pass,none,text,pass-metadata,True,False,text,,text,,,,,,0
consensus-384-t1-0::single-pass-run_22,consensus-384-t1-0,single-pass-run_22,384,single-pass,none,text,pass-metadata,True,False,text,,text,,,,,,0
consensus-384-t1-0::single-pass-run_23,consensus-384-t1-0,single-pass-run_23,384,single-pass,none,text,pass-metadata,True,False,text,,text,,,,,,0
consensus-384-t1-0::single-pass-run_24,consensus-384-t1-0,single-pass-run_24,384,single-pass,none,text,pass-metadata,True,False,text,,text,,,,,,0
consensus-384-t1-0::single-pass-run_25,consensus-384-t1-0,single-pass-run_25,384,single-pass,none,text,pass-metadata,True,False,text,,text,,,,,,0
consensus-384-t1-0::single-pass-run_26,consensus-384-t1-0,single-pass-run_26,384,single-pass,none,text,pass-metadata,True,False,text,,text,,,,,,0
consensus-384-t1-0::single-pass-run_27,consensus-384-t1-0,single-pass-run_27,384,single-pass,none,text,pass-metadata,True,False,text,,text,,,,,,0
consensus-384-t1-0::single-pass-run_28,consensus-384-t1-0,single-pass-run_28,384,single-pass,none,text,pass-metadata,True,False,text,,text,,,,,,0
consensus-384-t1-0::single-pass-run_29,consensus-384-t1-0,single-pass-run_29,384,single-pass,none,text,pass-metadata,True,False,text,,text,,,,,,0
consensus-384-t1-0::single-pass-run_30,consensus-384-t1-0,single-pass-run_30,384,single-pass,none,text,pass-metadata,True,False,text,,text,,,,,,0
e47-propose-brief::consensus-1of5,e47-propose-brief,consensus-1of5,propose_brief-text,consensus,consensus,text,pass-metadata,True,False,text,,text,text,,,,,0
e47-propose-brief::consensus-2of5,e47-propose-brief,consensus-2of5,propose_brief-text,consensus,consensus,text,pass-metadata,True,False,text,,text,text,,,,,0
e47-propose-brief::consensus-3of5,e47-propose-brief,consensus-3of5,propose_brief-text,consensus,consensus,text,pass-metadata,True,False,text,,text,text,,,,,0
e47-propose-brief::consensus-4of5,e47-propose-brief,consensus-4of5,propose_brief-text,consensus,consensus,text,pass-metadata,True,False,text,,text,text,,,,,0
e47-propose-brief::consensus-5of5,e47-propose-brief,consensus-5of5,propose_brief-text,consensus,consensus,text,pass-metadata,True,False,text,,text,text,,,,,0
e47-propose-brief::baseline-single-pass,e47-propose-brief,baseline-single-pass,propose_brief-text,single-pass,none,text,pass-metadata,True,False,text,,text,text,,,,,0
e47-propose-brief::single-pass-run_1,e47-propose-brief,single-pass-run_1,propose_brief-text,single-pass,none,text,pass-metadata,True,False,text,,text,text,,,,,0
e47-propose-brief::single-pass-run_2,e47-propose-brief,single-pass-run_2,propose_brief-text,single-pass,none,text,pass-metadata,True,False,text,,text,text,,,,,0
e47-propose-brief::single-pass-run_3,e47-propose-brief,single-pass-run_3,propose_brief-text,single-pass,none,text,pass-metadata,True,False,text,,text,text,,,,,0
e47-propose-brief::single-pass-run_4,e47-propose-brief,single-pass-run_4,propose_brief-text,single-pass,none,text,pass-metadata,True,False,text,,text,text,,,,,0
e47-propose-brief::single-pass-run_4-post-e71,e47-propose-brief,single-pass-run_4-post-e71,propose_brief-text,single-pass,none,text,pass-metadata,True,False,text,,text,text,,,,,0
e47-propose-brief::single-pass-run_5,e47-propose-brief,single-pass-run_5,propose_brief-text,single-pass,none,text,pass-metadata,True,False,text,,text,text,,,,,0
n1-outstanding-384::brief-text-t03-consensus-1of3,n1-outstanding-384,brief-text-t03-consensus-1of3,brief-text-t03,consensus,consensus,text,pass-metadata,True,False,text,,text,text,text,,,,0
n1-outstanding-384::brief-text-t03-consensus-2of3,n1-outstanding-384,brief-text-t03-consensus-2of3,brief-text-t03,consensus,consensus,text,pass-metadata,True,False,text,,text,text,text,,,,0
n1-outstanding-384::brief-text-t03-consensus-3of3,n1-outstanding-384,brief-text-t03-consensus-3of3,brief-text-t03,consensus,consensus,text,pass-metadata,True,False,text,,text,text,text,,,,0
n1-outstanding-384::image-t0-consensus-1of3,n1-outstanding-384,image-t0-consensus-1of3,image-t0,consensus,consensus,image,pass-metadata,True,False,image,,image,image,image,,,,0
n1-outstanding-384::image-t0-consensus-2of3,n1-outstanding-384,image-t0-consensus-2of3,image-t0,consensus,consensus,image,pass-metadata,True,False,image,,image,image,image,,,,0
n1-outstanding-384::image-t0-consensus-3of3,n1-outstanding-384,image-t0-consensus-3of3,image-t0,consensus,consensus,image,pass-metadata,True,False,image,,image,image,image,,,,0
n1-outstanding-384::image-t03-consensus-1of3,n1-outstanding-384,image-t03-consensus-1of3,image-t03,consensus,consensus,image,pass-metadata,True,False,image,,image,image,image,,,,0
n1-outstanding-384::image-t03-consensus-2of3,n1-outstanding-384,image-t03-consensus-2of3,image-t03,consensus,consensus,image,pass-metadata,True,False,image,,image,image,image,,,,0
n1-outstanding-384::image-t03-consensus-3of3,n1-outstanding-384,image-t03-consensus-3of3,image-t03,consensus,consensus,image,pass-metadata,True,False,image,,image,image,image,,,,0
n1-outstanding-384::pro-image-high-t0-consensus-1of3,n1-outstanding-384,pro-image-high-t0-consensus-1of3,pro-image-high-t0,consensus,consensus,image,pass-metadata,True,False,image,,image,image,image,,,,0
n1-outstanding-384::pro-image-high-t0-consensus-2of3,n1-outstanding-384,pro-image-high-t0-consensus-2of3,pro-image-high-t0,consensus,consensus,image,pass-metadata,True,False,image,,image,image,image,,,,0
n1-outstanding-384::pro-image-high-t0-consensus-3of3,n1-outstanding-384,pro-image-high-t0-consensus-3of3,pro-image-high-t0,consensus,consensus,image,pass-metadata,True,False,image,,image,image,image,,,,0
n1-outstanding-384::pro-text-high-t0-consensus-1of3,n1-outstanding-384,pro-text-high-t0-consensus-1of3,pro-text-high-t0,consensus,consensus,text,pass-metadata,True,False,text,,text,text,text,,,,0
n1-outstanding-384::pro-text-high-t0-consensus-2of3,n1-outstanding-384,pro-text-high-t0-consensus-2of3,pro-text-high-t0,consensus,consensus,text,pass-metadata,True,False,text,,text,text,text,,,,0
n1-outstanding-384::pro-text-high-t0-consensus-3of3,n1-outstanding-384,pro-text-high-t0-consensus-3of3,pro-text-high-t0,consensus,consensus,text,pass-metadata,True,False,text,,text,text,text,,,,0
n1-outstanding-384::brief-text-t03-single-pass-run_1,n1-outstanding-384,brief-text-t03-single-pass-run_1,brief-text-t03,single-pass,none,text,pass-metadata,True,False,text,,text,text,text,,,,0
n1-outstanding-384::brief-text-t03-single-pass-run_2,n1-outstanding-384,brief-text-t03-single-pass-run_2,brief-text-t03,single-pass,none,text,pass-metadata,True,False,text,,text,text,text,,,,0
n1-outstanding-384::brief-text-t03-single-pass-run_3,n1-outstanding-384,brief-text-t03-single-pass-run_3,brief-text-t03,single-pass,none,text,pass-metadata,True,False,text,,text,text,text,,,,0
n1-outstanding-384::image-t0-single-pass-run_1,n1-outstanding-384,image-t0-single-pass-run_1,image-t0,single-pass,none,image,pass-metadata,True,False,image,,image,image,image,,,,0
n1-outstanding-384::image-t0-single-pass-run_2,n1-outstanding-384,image-t0-single-pass-run_2,image-t0,single-pass,none,image,pass-metadata,True,False,image,,image,image,image,,,,0
n1-outstanding-384::image-t0-single-pass-run_3,n1-outstanding-384,image-t0-single-pass-run_3,image-t0,single-pass,none,image,pass-metadata,True,False,image,,image,image,image,,,,0
n1-outstanding-384::image-t03-single-pass-run_1,n1-outstanding-384,image-t03-single-pass-run_1,image-t03,single-pass,none,image,pass-metadata,True,False,image,,image,image,image,,,,0
n1-outstanding-384::image-t03-single-pass-run_2,n1-outstanding-384,image-t03-single-pass-run_2,image-t03,single-pass,none,image,pass-metadata,True,False,image,,image,image,image,,,,0
n1-outstanding-384::image-t03-single-pass-run_3,n1-outstanding-384,image-t03-single-pass-run_3,image-t03,single-pass,none,image,pass-metadata,True,False,image,,image,image,image,,,,0
n1-outstanding-384::pro-image-high-t0-single-pass-run_1,n1-outstanding-384,pro-image-high-t0-single-pass-run_1,pro-image-high-t0,single-pass,none,image,pass-metadata,True,False,image,,image,image,image,,,,0
n1-outstanding-384::pro-image-high-t0-single-pass-run_1-post-e71,n1-outstanding-384,pro-image-high-t0-single-pass-run_1-post-e71,pro-image-high-t0,single-pass,none,image,pass-metadata,True,False,image,,image,image,image,,,,0
n1-outstanding-384::pro-image-high-t0-single-pass-run_2,n1-outstanding-384,pro-image-high-t0-single-pass-run_2,pro-image-high-t0,single-pass,none,image,pass-metadata,True,False,image,,image,image,image,,,,0
n1-outstanding-384::pro-image-high-t0-single-pass-run_2-post-e71,n1-outstanding-384,pro-image-high-t0-single-pass-run_2-post-e71,pro-image-high-t0,single-pass,none,image,pass-metadata,True,False,image,,image,image,image,,,,0
n1-outstanding-384::pro-image-high-t0-single-pass-run_3,n1-outstanding-384,pro-image-high-t0-single-pass-run_3,pro-image-high-t0,single-pass,none,image,pass-metadata,True,False,image,,image,image,image,,,,0
n1-outstanding-384::pro-image-high-t0-single-pass-run_3-post-e71,n1-outstanding-384,pro-image-high-t0-single-pass-run_3-post-e71,pro-image-high-t0,single-pass,none,image,pass-metadata,True,False,image,,image,image,image,,,,0
n1-outstanding-384::pro-text-high-t0-single-pass-run_1,n1-outstanding-384,pro-text-high-t0-single-pass-run_1,pro-text-high-t0,single-pass,none,text,pass-metadata,True,False,text,,text,text,text,,,,0
n1-outstanding-384::pro-text-high-t0-single-pass-run_1-post-e71,n1-outstanding-384,pro-text-high-t0-single-pass-run_1-post-e71,pro-text-high-t0,single-pass,none,text,pass-metadata,True,False,text,,text,text,text,,,,0
n1-outstanding-384::pro-text-high-t0-single-pass-run_2,n1-outstanding-384,pro-text-high-t0-single-pass-run_2,pro-text-high-t0,single-pass,none,text,pass-metadata,True,False,text,,text,text,text,,,,0
n1-outstanding-384::pro-text-high-t0-single-pass-run_2-post-e71,n1-outstanding-384,pro-text-high-t0-single-pass-run_2-post-e71,pro-text-high-t0,single-pass,none,text,pass-metadata,True,False,text,,text,text,text,,,,0
n1-outstanding-384::pro-text-high-t0-single-pass-run_3,n1-outstanding-384,pro-text-high-t0-single-pass-run_3,pro-text-high-t0,single-pass,none,text,pass-metadata,True,False,text,,text,text,text,,,,0
n1-outstanding-384::pro-text-high-t0-single-pass-run_3-post-e71,n1-outstanding-384,pro-text-high-t0-single-pass-run_3-post-e71,pro-text-high-t0,single-pass,none,text,pass-metadata,True,False,text,,text,text,text,,,,0
n1-outstanding-384::pro-image-medium-t07-single-pass-run_1,n1-outstanding-384,pro-image-medium-t07-single-pass-run_1,pro-image-medium-t07,single-pass,none,image,pass-metadata,True,False,image,,image,image,image,,,,0
n1-outstanding-384::pro-text-medium-t07-single-pass-run_1,n1-outstanding-384,pro-text-medium-t07-single-pass-run_1,pro-text-medium-t07,single-pass,none,text,pass-metadata,True,False,text,,text,text,text,,,,0
n1-outstanding-384::baseline-flash-image-minimal-t-0-0-487-tiles,n1-outstanding-384,baseline-flash-image-minimal-t-0-0-487-tiles,image-t0,single-pass,none,image,pass-metadata,True,False,image,,image,image,image,,,,0
n1-outstanding-384::baseline-flash-image-minimal-t-0-3,n1-outstanding-384,baseline-flash-image-minimal-t-0-3,image-t03,single-pass,none,image,pass-metadata,True,False,image,,image,image,image,,,,0
n1-outstanding-384::baseline-flash-text-minimal-t-0-3,n1-outstanding-384,baseline-flash-text-minimal-t-0-3,brief-text-t03,single-pass,none,text,pass-metadata,True,False,text,,text,text,text,,,,0
n1-outstanding-384::baseline-pro-image-high-t-0-0,n1-outstanding-384,baseline-pro-image-high-t-0-0,pro-image-high-t0,single-pass,none,image,pass-metadata,True,False,image,,image,image,image,,,,0
n1-outstanding-384::baseline-pro-image-high-t-0-0-post-e71,n1-outstanding-384,baseline-pro-image-high-t-0-0-post-e71,pro-image-high-t0,single-pass,none,image,pass-metadata,True,False,image,,image,image,image,,,,0
n1-outstanding-384::baseline-pro-image-medium-t-0-7,n1-outstanding-384,baseline-pro-image-medium-t-0-7,pro-image-medium-t07,single-pass,none,image,pass-metadata,True,False,image,,image,image,image,,,,0
n1-outstanding-384::baseline-pro-text-high-t-0-0,n1-outstanding-384,baseline-pro-text-high-t-0-0,pro-text-high-t0,single-pass,none,text,pass-metadata,True,False,text,,text,text,text,,,,0
n1-outstanding-384::baseline-pro-text-high-t-0-0-post-e71,n1-outstanding-384,baseline-pro-text-high-t-0-0-post-e71,pro-text-high-t0,single-pass,none,text,pass-metadata,True,False,text,,text,text,text,,,,0
n1-outstanding-384::baseline-pro-text-medium-t-0-7,n1-outstanding-384,baseline-pro-text-medium-t-0-7,pro-text-medium-t07,single-pass,none,text,pass-metadata,True,False,text,,text,text,text,,,,0
n1-outstanding-384::pv-n1-image-t0-n3-opmax,n1-outstanding-384,pv-n1-image-t0-n3-opmax,image-t0,proposer-verifier,verified,image,pass-metadata,True,False,image,,image,image,image,,image,image,0
n1-pro-rerun-384::baseline-pro-text-high-t-0-0,n1-pro-rerun-384,baseline-pro-text-high-t-0-0,pro-text-high-t0,single-pass,none,text,pass-metadata,True,False,text,,text,text,text,,,,0
n1-pro-rerun-384::baseline-pro-text-medium-t-0-7,n1-pro-rerun-384,baseline-pro-text-medium-t-0-7,pro-text-medium-t07,single-pass,none,text,pass-metadata,True,False,text,,text,text,text,,,,0
n1-pro-rerun-384::baseline-pro-image-high-t-0-0,n1-pro-rerun-384,baseline-pro-image-high-t-0-0,pro-image-high-t0,single-pass,none,image,pass-metadata,True,False,image,,image,image,image,,,,0
n1-pro-rerun-384::baseline-pro-image-medium-t-0-7,n1-pro-rerun-384,baseline-pro-image-medium-t-0-7,pro-image-medium-t07,single-pass,none,image,pass-metadata,True,False,image,,image,image,image,,,,0
proposer-verifier-384::verified-adversarial-text,proposer-verifier-384,verified-adversarial-text,detect_brief-text,proposer-verifier,verified,text,config-file,True,False,,text,,text,text,text,,,0
proposer-verifier-384::verified-adversarial-image,proposer-verifier-384,verified-adversarial-image,detect_brief-text,proposer-verifier,verified,text,config-file,True,False,,image,,text,image,image,,,2
proposer-verifier-384::verified-brief-text,proposer-verifier-384,verified-brief-text,detect_brief-text,proposer-verifier,verified,text,config-file,True,False,,text,,text,text,text,,,0
proposer-verifier-384::verified-brief-image,proposer-verifier-384,verified-brief-image,detect_brief-text,proposer-verifier,verified,text,config-file,True,False,,image,,text,image,image,,,2
proposer-verifier-384::verified-checklist-text,proposer-verifier-384,verified-checklist-text,detect_brief-text,proposer-verifier,verified,text,config-file,True,False,,text,,text,text,text,,,0
proposer-verifier-384::verified-checklist-image,proposer-verifier-384,verified-checklist-image,detect_brief-text,proposer-verifier,verified,text,config-file,True,False,,image,,text,image,image,,,2
proposer-verifier-384::verified-cascade-adversarial-checklist,proposer-verifier-384,verified-cascade-adversarial-checklist,detect_brief-text,proposer-verifier,verified,text,config-file,True,False,,text,,text,,text,,,0
proposer-verifier-384::verified-cascade-checklist-adversarial,proposer-verifier-384,verified-cascade-checklist-adversarial,detect_brief-text,proposer-verifier,verified,text,config-file,True,False,,image,,text,,text,,,0
proposer-verifier-384::verified-adversarial-image-era2b,proposer-verifier-384,verified-adversarial-image-era2b,detect_brief-text,proposer-verifier,verified,text,config-file,True,False,,image,,text,image,,,,0
proposer-verifier-384::verified-adversarial-text-era2b,proposer-verifier-384,verified-adversarial-text-era2b,detect_brief-text,proposer-verifier,verified,text,config-file,True,False,,text,,text,text,,,,0
proposer-verifier-384::verified-brief-image-era2b,proposer-verifier-384,verified-brief-image-era2b,detect_brief-text,proposer-verifier,verified,text,config-file,True,False,,image,,text,image,,,,0
proposer-verifier-384::verified-brief-text-era2b,proposer-verifier-384,verified-brief-text-era2b,detect_brief-text,proposer-verifier,verified,text,config-file,True,False,,text,,text,text,,,,0
proposer-verifier-384::verified-cascade-adversarial-checklist-era2b,proposer-verifier-384,verified-cascade-adversarial-checklist-era2b,detect_brief-text,proposer-verifier,verified,text,config-file,True,False,,text,,text,,,,,0
proposer-verifier-384::verified-cascade-checklist-adversarial-era2b,proposer-verifier-384,verified-cascade-checklist-adversarial-era2b,detect_brief-text,proposer-verifier,verified,text,config-file,True,False,,image,,text,,,,,0
